afdelingsformand		sb.	40000108
afdelingsforstander		sb.	40000109
afdelingsingeniør		sb.	40000110
afdelingskontor		sb.	40000111
afdelingsleder		sb.	11000327
afdelingslæge		sb.	11000328
afdelingsmøde		sb.	40000112
afdelingssygeplejerske		sb.	11000329
afdelingsvis	1	adj.	51004636
afdelingsvis	2	adv.	41000002
afdelingsvist		adv.	41000002
afdemokratisere		vb.	41000556
afdemokratisering		sb.	49101956
afdrag		sb.	11000330
afdrage		vb.	11000331
afdragsfri		adj.	11000332
afdragsfrihed		sb.	48007478
afdragslån		sb.	48007575
afdragsordning		sb.	40000113
afdragsvilkår		sb.	40000114
afdramatisere		vb.	11000333
afdramatisering		sb.	40000115
afdreje		vb.	11000334
afdrible		vb.	11000335
afdrift		sb.	11000336
afdrypning		sb.	40000116
afdryppe		vb.	11000337
afdække		vb.	11000338
afdækning		sb.	11000339
afdæmpe		vb.	11000340
afdæmpning		sb.	11000341
afdød		adj.	11000342
affabel		adj.	11000344
affald		sb.	11000345
affaldsafgift		sb.	11000346
affaldsbehandling		sb.	11000347
affaldsbeholder		sb.	30001080
affaldsbortskaffelse		sb.	40000118
affaldsbørs		sb.	11000348
affaldscontainer		sb.	40000119
affaldsdeponering		sb.	40000120
affaldsdeponi		sb.	46001637
affaldsdepot		sb.	40000121
affaldsdynge		sb.	50000053
affaldsforbrænding		sb.	50000054
affaldsforbrændingsanlæg		sb.	50000055
affaldsgebyr		sb.	41000645
affaldshierarki		sb.	41000552
affaldshåndtering		sb.	11000349
affaldskurv		sb.	11000350
affaldskværn		sb.	11000351
affaldsmængde		sb.	40000122
affaldspapir		sb.	40000123
affaldsplads		sb.	11000352
affaldsplan		sb.	11000353
affaldsplanlægning		sb.	11000354
affaldspose		sb.	11000355
affaldsproblem		sb.	40000124
affaldsprodukt		sb.	11000356
affaldsskakt		sb.	11000357
affaldssortering		sb.	11000358
affaldssorteringsanlæg		sb.	40000125
affaldsspand		sb.	11000359
affaldsstof		sb.	11000360
affaldssæk		sb.	11000361
affaldstræ		sb.	11000362
affarve		vb.	11000363
affarvning		sb.	40000126
affase		vb.	11000364
affasning		sb.	40000127
affatte		vb.	11000365
affattelse		sb.	40000128
affedning		sb.	11000366
affedte		vb.	11000367
affedtning		sb.	40000129
affeje		vb.	11000368
affejning		sb.	40000130
affekt		sb.	11000369
affektation		sb.	11000370
affektbetonet		adj.	40000131
affekteret		adj.	11000371
affekthandling		sb.	40000132
affektion		sb.	11000372
affektionsværdi		sb.	11000373
affektiv		adj.	11000374
affektlabil		adj.	11000375
afferent		adj.	41001370
afficere		vb.	11000376
affiks		sb.	11000377
affinde		vb.	11000378
affinitet		sb.	11000379
affirmation		sb.	41001372
affirmativ		adj.	41001373
affjedre		vb.	11000380
affjedring		sb.	11000381
affjedringskomfort		sb.	53005662
affjedringssystem		sb.	53005663
afflade		vb.	11000382
affladning		sb.	40000133
affodre		vb.	11000383
affodring		sb.	40000134
affolke		vb.	11000384
affolkning		sb.	40000135
affordre		vb.	11000385
affotografere		vb.	11000386
affotografering		sb.	11000387
affrede		vb.	49153133
affredning		sb.	49151154
affugte		vb.	11000388
affugter		sb.	40000136
affugtning		sb.	40000137
affutage		sb.	41001375
affyre		vb.	11000389
affyring		sb.	11000390
affyringsrampe		sb.	11000391
affældig		adj.	11000392
affældighed		sb.	40000138
affærdige		vb.	11000393
affærdigelse		sb.	40000139
affære		sb.	11000394
afføde		vb.	11000395
afføre		vb.	11000396
afførende		adj.	11000397
afføring		sb.	11000398
afføringsmiddel		sb.	11000399
afføringstablet		sb.	40000140
afg.		fork.	11000400
afgang		sb.	11000401
afgangsbevis		sb.	11000402
afgangsdiplom		sb.	50000056
afgangseksamen		sb.	11000403
afgangselev		sb.	11000404
afgangshal		sb.	11000405
afgangsklasse		sb.	11000406
afgangsopgave		sb.	11000407
afgangsprøve		sb.	11000408
afgangssignal		sb.	40000141
afgangsterminal		sb.	48006885
afgangstid		sb.	40000142
afgasning		sb.	11000409
afgasse		vb.	11000410
afghaner		sb.	11000411
afghanerpels		sb.	40000143
afghansk		adj.	11000412
afgift		sb.	11000413
afgifte		vb.	11000414
afgiftning		sb.	40000144
afgiftsberigtige		vb.	11000415
afgiftsberigtigelse		sb.	40000145
afgiftsbuket		sb.	11000416
afgiftsforhøjelse		sb.	40000146
afgiftsfri		adj.	11000417
afgiftsfrihed		sb.	40000147
afgiftsfritagelse		sb.	40000148
afgiftsharmonisering		sb.	50000059
afgiftsklasse		sb.	11000418
afgiftslempelse		sb.	50000060
afgiftslettelse		sb.	40000149
afgiftsnedsættelse		sb.	40000150
afgiftspakke		sb.	50000062
afgiftsplaget		adj.	40000151
afgiftspligt		sb.	11000419
afgiftspligtig		adj.	11000420
afgiftspolitik		sb.	11000421
afgiftsprovenu		sb.	50000063
afgiftssats		sb.	11000422
afgiftsstigning		sb.	40000152
afgiftssystem		sb.	40000153
afgive		vb.	11000423
afgivelse		sb.	11000424
afgjort		adj.	11000425
afglans		sb.	11000426
afglidende		adj.	11000427
afgnave		vb.	11000428
afgnide		vb.	50000109
afgrate		vb.	53400006
afgrave		vb.	11000429
afgravning		sb.	40000154
afgrene		vb.	11000430
afgrund		sb.	11000431
afgrundsdyb		adj.	11000432
afgrænse		vb.	11000433
afgrænselig		adj.	40000155
afgrænsning		sb.	11000434
afgrænsningsproblem		sb.	40000156
afgræsning		sb.	40000157
